period_days,radius_rearth,n,eta_median,eta_p16,eta_p84,eta_spread,depth_ppm,snr1,pass,noise_limited,borderline
0.5,1,200,0.846056832146598,0.4249518076142462,1.2206807493889604,0.7957289417747142,80.23259557010363,0.0751945600469574,False,True,False
0.5,2,200,0.8918835105767419,0.7242817827753195,1.0193411361459923,0.295059353370673,327.45270144711753,0.3068910041678702,False,False,True
0.5,4,200,0.901945049779974,0.7877439209296958,0.9740698391863488,0.1863259182566531,1086.8728595658836,1.0186249855350362,True,False,False
0.5,8,200,0.9829356619856504,0.8765490677405514,0.9989006766661,0.1223516089255486,5134.886116486632,4.812451843005278,True,False,False
0.5,12,200,0.997652312062462,0.9743476095717704,1.000494194353012,0.0261465847812415,12166.963501841146,11.402964856458432,True,False,False
1.0,1,200,0.7934267510784576,0.3734653599073444,1.313746831509005,0.9402814716016606,80.19257246586575,0.0751570501085902,False,True,False
1.0,2,200,0.9232176046565151,0.7435687059545458,1.0334386748187696,0.2898699688642238,320.9303822804145,0.3007782401878299,True,False,False
1.0,4,200,0.9396710614038338,0.8599035178929797,0.9899576649045904,0.1300541470116106,1344.587056240865,1.2601565662988423,True,False,False
1.0,8,200,0.989774725738675,0.9318467576108076,1.0006537410792733,0.0688069834684658,5132.324637815408,4.810051206949773,True,False,False
1.0,12,200,0.997555029728744,0.982270715825132,1.0015184814381903,0.0192477656130583,10710.96589847728,10.038393531843749,True,False,False
2.0,1,200,0.916201159573972,0.0644044386728499,1.8632999402801704,1.7988955016073205,83.45373204921725,0.0782134320986103,True,True,False
2.0,2,200,0.9574433768624095,0.6700722166526792,1.1465710936851985,0.4764988770325192,376.4727413544879,0.35283293472773,True,False,False
2.0,4,200,0.978740058381136,0.8818335491108656,1.0159487569288652,0.1341152078179995,1283.081159453852,1.2025128017374431,True,False,False
2.0,8,200,0.9950135279071222,0.956756034949068,1.0076567656789523,0.0509007307298844,5239.2432231538805,4.910256066685924,True,False,False
2.0,12,200,0.9986964793186668,0.9844333416297284,1.004087291894869,0.0196539502651404,9874.201361869891,9.254171848050508,True,False,False
4.0,1,200,0.8952793142390013,-0.2170245519658501,2.3042593662288335,2.521283918194684,84.49280209611905,0.0791872559476279,False,True,False
4.0,2,200,0.9105971816910065,0.5540864678581379,1.1176694041915198,0.563582936333382,321.090474697366,0.3009282799412989,True,False,False
4.0,4,200,0.9566106896951548,0.8322986915856502,1.0159293651301018,0.1836306735444516,1066.0746550843155,0.999132760153998,True,False,False
4.0,8,200,0.9941121044672244,0.9408647160244358,1.0073113325409777,0.0664466165165417,4347.491438263534,4.074499942140145,True,False,False
4.0,12,200,0.9981815466372248,0.9792674662129252,1.003934371885825,0.0246669056728996,12176.096549544716,11.411524413818851,True,False,False
8.0,1,200,0.6879328921271285,-1.3109622139927062,1.960779218898972,3.2717414328916785,67.28826465497228,0.0630630409137509,False,True,False
8.0,2,200,0.91343286904585,0.4925881012981858,1.2783694316589345,0.7857813303607486,271.7182148914709,0.254656246383759,True,False,False
8.0,4,200,0.9689679986182862,0.8513050356601309,1.0653478730899089,0.2140428374297779,1309.81080578847,1.227564016671481,True,False,False
8.0,8,200,0.99327980214377,0.9391584944214656,1.018885021531266,0.0797265271098002,5137.447595157856,4.814852479060783,True,False,False
8.0,12,200,0.9989183354699784,0.981051825628412,1.0076823251578757,0.0266304995294636,12092.150458464215,11.332849539329164,True,False,False
16.0,1,193,0.6905768778200089,-1.1303740543037664,2.2386780290580615,3.3690520833618276,84.49280209611905,0.0791872559476279,False,True,False
16.0,2,186,0.9145205162147938,0.5551155655329671,1.328797995410979,0.7736824298780118,333.814928196869,0.3128537283944414,True,False,False
16.0,4,188,0.9408118628551512,0.7512140954949089,1.0392886934764398,0.2880745979815309,944.9964934950276,0.8856574447001196,True,False,False
16.0,8,194,0.9914729511052864,0.9173316121998442,1.0149370898127086,0.0976054776128644,4760.429288212124,4.461508236375,True,False,False
16.0,12,192,0.9979999582408984,0.9638371004158544,1.0064647187375444,0.0426276183216899,8504.968441455248,7.970917002301077,True,False,False
