tic,kind,armA_sde,armA_detect,routed,fap_ok,reached_confirmer,sign_pass,shape_pass,confirmed,armB_detect
100100827,TOI,47.61335810377811,True,True,True,True,True,True,True,True
118327550,TOI,14.5886191326215,True,True,False,False,,,False,True
120610833,TOI,19.76976403103003,True,True,False,False,,,False,True
12862099,TOI,14.066329554980458,True,True,False,False,,,False,True
144065872,TOI,32.34294377088739,True,True,True,True,True,False,False,True
150030205,TOI,22.894288771804852,True,True,False,False,,,False,True
150098860,TOI,22.025603160725105,True,True,False,False,,,False,True
164767175,TOI,6.311307662494743,False,True,False,False,,,False,False
183532609,TOI,25.994323527657585,True,True,False,False,,,False,True
183537452,TOI,22.985775051419353,True,True,False,False,,,False,True
183985250,TOI,23.573887257000347,True,True,True,True,True,True,True,True
184240683,TOI,21.626614138046737,True,True,True,True,True,True,True,True
224225541,TOI,6.043654774785864,False,False,False,False,,,False,False
231663901,TOI,20.99078134698154,True,True,True,True,True,True,True,True
231670397,TOI,13.437366301050526,True,True,False,False,,,False,True
251848941,TOI,13.474049603682555,True,True,False,False,,,False,True
259377017,TOI,11.136630466871974,True,True,False,False,,,False,True
260708537,TOI,8.986109735660872,False,True,False,False,,,False,False
262530407,TOI,26.910334902700345,True,True,False,False,,,False,True
267263253,TOI,28.639717619656015,True,True,False,False,,,False,True
268766053,TOI,17.516794277089787,True,True,False,False,,,False,True
317060587,TOI,12.173313674498758,True,True,False,False,,,False,True
355703913,TOI,27.00769012920809,True,True,True,True,True,True,True,True
37749396,TOI,7.316718636008163,False,True,False,False,,,False,False
402026209,TOI,30.114432224906025,True,True,True,True,True,False,False,True
410153553,TOI,22.985726077547127,True,True,False,False,,,False,True
69747919,TOI,11.633898539474036,True,True,False,False,,,False,True
76923707,TOI,19.16889824621365,True,True,False,False,,,False,True
89020549,TOI,15.955892594911859,True,True,False,False,,,False,True
97409519,TOI,17.312364866832652,True,True,True,True,True,False,False,True
100029948,EB,40.36208946083365,True,True,True,True,True,False,False,True
100100829,EB,17.527037758192417,True,True,False,False,,,False,True
116417661,EB,36.3505502360836,True,True,True,True,True,False,False,True
121420805,EB,25.082883371768133,True,True,True,True,True,True,True,True
144000467,EB,21.53074936100946,True,True,True,True,True,False,False,True
144462697,EB,26.707688743860842,True,True,True,True,True,True,True,True
150187916,EB,16.988024639134885,True,True,False,False,,,False,True
160081043,EB,25.577320273423723,True,True,False,False,,,False,True
183529462,EB,5.976680925334121,False,False,False,False,,,False,False
212377300,EB,10.095962019903594,False,False,False,False,,,False,False
224283342,EB,16.484603280409914,True,True,True,True,True,True,True,True
231061733,EB,17.188482577381055,True,False,False,False,,,False,True
231833204,EB,18.692868415513743,True,True,True,True,True,True,True,True
241393039,EB,11.910288158957657,True,True,False,False,,,False,True
327996089,EB,28.09106754273455,True,True,True,True,True,False,False,True
355651035,EB,18.79903946798147,True,False,False,False,,,False,True
